Name,Exclusive secs,Inclusive secs,% Exclusive,% Inclusive,Module,Source File,Source Line
"fflush",0.0039859,0.0039859,0.000407466,0.000407466,"msvcrt","[unknown]",0
"fgetc",295.164,295.164,30.1737,30.1737,"msvcrt","[unknown]",0
"putc",0.855283,0.855283,0.0874329,0.0874329,"msvcrt","[unknown]",0
"ftell",0,0,0,0,"msvcrt","[unknown]",0
"fwrite",0.582434,0.582434,0.0595404,0.0595404,"msvcrt","[unknown]",0
"strlen",0.0039822,0.0039822,0.000407088,0.000407088,"msvcrt","[unknown]",0
"strrchr",0,0,0,0,"msvcrt","[unknown]",0
"send",0,0.0079514,0,0.000812847,"WS2_32","[unknown]",0
"recv",0,0.139648,0,0.0142758,"WS2_32","[unknown]",0
"BasepQueryAppCompat",0,0,0,0,"KERNEL32","[unknown]",0
"BasepConstructSxsCreateProcessMessage",0,0,0,0,"KERNEL32","[unknown]",0
"BaseThreadInitThunk",0,325.177,0,33.2418,"KERNEL32","[unknown]",0
"CreateProcessA",0,0,0,0,"KERNEL32","[unknown]",0
"GetExitCodeProcess",0,0,0,0,"KERNEL32","[unknown]",0
"CreateToolhelp32Snapshot",0,0,0,0,"KERNEL32","[unknown]",0
"CsrClientCallServer",0,0,0,0,"ntdll","[unknown]",0
"CsrCaptureMessageMultiUnicodeStringsInPlace",0,0,0,0,"ntdll","[unknown]",0
"CsrAllocateCaptureBuffer",0,0,0,0,"ntdll","[unknown]",0
"RtlAllocateHeap",0,0,0,0,"ntdll","[unknown]",0
"RtlUserThreadStart",652.547,652.547,66.7079,66.7079,"ntdll","[unknown]",0
"TpReleaseCleanupGroupMembers",0,0,0,0,"ntdll","[unknown]",0
"ZwWaitForSingleObject",0.139648,0.139648,0.0142758,0.0142758,"ntdll","[unknown]",0
"NtReadFile",0,0,0,0,"ntdll","[unknown]",0
"NtDeviceIoControlFile",0.0079514,0.0079514,0.000812847,0.000812847,"ntdll","[unknown]",0
"NtWriteFile",0,0,0,0,"ntdll","[unknown]",0
"ZwClose",0,0,0,0,"ntdll","[unknown]",0
"NtOpenKey",0,0,0,0,"ntdll","[unknown]",0
"NtQueryValueKey",0,0,0,0,"ntdll","[unknown]",0
"ZwQueryInformationProcess",0,0,0,0,"ntdll","[unknown]",0
"NtWriteVirtualMemory",0,0,0,0,"ntdll","[unknown]",0
"NtQueryAttributesFile",0,0,0,0,"ntdll","[unknown]",0
"ZwApphelpCacheControl",0,0,0,0,"ntdll","[unknown]",0
"NtAlpcSendWaitReceivePort",0,0,0,0,"ntdll","[unknown]",0
"ZwCreateUserProcess",0,0,0,0,"ntdll","[unknown]",0
"ZwWaitForWorkViaWorkerFactory",0,0,0,0,"ntdll","[unknown]",0
